sid,student_name,email,major,current_risk_status,cumulative_gpa,last_notified_timestamp
019e3117-c810-7ff8-9cb7-24213d45cfa7,Student A,student_0@example.edu,Computer Science,Normal,3.5,
019e3117-c811-772f-b0cc-a059f54a9405,Student B,student_1@example.edu,Business,Normal,3.5,
019e3117-c812-7bbc-85df-495b0b14aad6,Student C,student_2@example.edu,Computer Science,Normal,3.5,
019e3117-c813-7d21-b934-ad2b5dd45bb2,Student D,student_3@example.edu,Business,Normal,3.5,
019e3117-c814-727d-a005-249f73d2233d,Student E,student_4@example.edu,Computer Science,Normal,3.5,
019e3117-c815-7a85-a8e1-e59e88f6c338,Student F,student_5@example.edu,Business,Normal,3.5,
019e3117-c816-7dfa-9576-f6fbe6bee293,Student G,student_6@example.edu,Computer Science,Normal,3.5,
019e3117-c818-7125-a6df-10455d013641,Student I,student_8@example.edu,Computer Science,Normal,3.5,
019e3117-c819-7f33-a059-8737932ea3cf,Student J,student_9@example.edu,Business,Normal,3.5,
019e3117-c81a-7855-8f62-eaefc66c091c,Student K,student_10@example.edu,Computer Science,Normal,3.5,
019e3117-c81b-7575-9c54-0b97b984a42a,Student L,student_11@example.edu,Business,Normal,3.5,
019e3117-c81c-7451-bac3-87b48f4aac0a,Student M,student_12@example.edu,Computer Science,Normal,3.5,
019e3117-c81d-7898-8809-79a2513cb17d,Student N,student_13@example.edu,Business,Normal,3.5,
019e3117-c81e-716d-9a07-0b3abcfe6fdc,Student O,student_14@example.edu,Computer Science,Normal,3.5,
019e3117-c81f-7f1e-bc71-793c45145e68,Student P,student_15@example.edu,Business,Normal,3.5,
019e3117-c820-7fdd-a43d-66cec16fe012,Student Q,student_16@example.edu,Computer Science,Normal,3.5,
019e3117-c821-7b33-b4b8-7a5ccf8d093e,Student R,student_17@example.edu,Business,Normal,3.5,
019e3117-c822-7bb4-9ba0-e6567ea83f62,Student S,student_18@example.edu,Computer Science,Normal,3.5,
019e3117-c823-7191-b8b7-cd7e165da241,Student T,student_19@example.edu,Business,Normal,3.5,
019e3117-c817-71b3-8ac9-c2113c74166a,Student H,student_7@example.edu,Business,Elevated,3.5,
