sid,student_name,email,major,current_risk_status,last_notified_timestamp,last_notified_satisfaction
5ad8c8bd-455c-447e-9860-7b9a29ca6e56,Student 0,student_0@university.edu,Mathematics,Normal,,0
efbef178-8ed3-475b-9114-eeacf596aecb,Student 1,student_1@university.edu,Data Science,Normal,,0
c61aac91-c079-4d6b-8dd7-99b3060dee3b,Student 2,student_2@university.edu,Mathematics,Normal,,0
59569b05-3edd-40eb-8f43-01ff12f39235,Student 3,student_3@university.edu,Computer Science,Normal,,0
1ebe64a4-c850-4ee7-a6f5-11e828c76e38,Student 4,student_4@university.edu,Data Science,Normal,,0
4b5641b5-33fb-4e5f-8686-5623cbf25f21,Student 5,student_5@university.edu,Physics,Normal,,0
2ca0cf7a-c4c7-453c-b676-b4009614ebbb,Student 6,student_6@university.edu,Computer Science,Normal,,0
b0d18f85-93c9-4a67-91b5-aa0a7533cbf9,Student 7,student_7@university.edu,Mathematics,Normal,,0
cb49ea58-d634-416d-8735-91f69b17d824,Student 8,student_8@university.edu,Software Engineering,Normal,,0
5eb85daf-54b2-4354-a0fa-09b39e9885c7,Student 9,student_9@university.edu,Software Engineering,Normal,,0
c7a84d37-3c64-44d1-ae03-40f5b8e8becd,Student 10,student_10@university.edu,Physics,Normal,,0
f84568ba-8817-4f81-9d6f-43efe711e285,Student 11,student_11@university.edu,Data Science,Normal,,0
eb90fabb-3740-4a8f-809c-a2dd5b99969d,Student 12,student_12@university.edu,Mathematics,Normal,,0
d6e3f8ea-155d-45a1-ab04-b3a0b0160657,Student 13,student_13@university.edu,Data Science,Normal,,0
bd46c55e-5925-4a33-9096-2c065dc592d9,Student 14,student_14@university.edu,Data Science,Normal,,0
01be3002-125a-4ff4-a518-217aeed1ead0,Student 15,student_15@university.edu,Physics,Normal,,0
95e35faf-5013-432c-8c90-8ea17e1942bd,Student 16,student_16@university.edu,Physics,Normal,,0
b3dde011-8ba9-4715-82ee-12e3e607502f,Student 17,student_17@university.edu,Data Science,Normal,,0
700f6b3f-67ad-4f43-8ecd-0d600e237a2c,Student 18,student_18@university.edu,Software Engineering,Normal,,0
3c5ca8c2-0de5-4de6-90c2-97c07395a891,Student 19,student_19@university.edu,Computer Science,Normal,,0
